Main	Middle	Sub	Address	Central	Unfiltered	Description	DatapointType	Security
		UG_Lager_Deckenlicht RGB_ABS	1/1/35					Auto
		UG_Lager_Deckenlicht RM_EA	1/1/36					Auto
		UG_Lager_Deckenlicht RM_DIM	1/1/37					Auto
		UG_Lager_Deckenlicht RM_TWRGB	1/1/38					Auto
		UG_Lager_Deckenlicht FEHLER	1/1/39					Auto
		UG_Abstell_Deckenlicht EA	1/1/40					Auto
		UG_Abstell_Deckenlicht DIM_REL	1/1/41					Auto
		UG_Abstell_Deckenlicht DIM_ABS	1/1/42					Auto
		UG_Abstell_Deckenlicht TW_ABS	1/1/43					Auto
		UG_Abstell_Deckenlicht TW_REL	1/1/44					Auto
		UG_Abstell_Deckenlicht RGB_ABS	1/1/45					Auto
		UG_Abstell_Deckenlicht RM_EA	1/1/46					Auto
		UG_Abstell_Deckenlicht RM_DIM	1/1/47					Auto
		UG_Abstell_Deckenlicht RM_TWRGB	1/1/48					Auto
		UG_Abstell_Deckenlicht FEHLER	1/1/49					Auto
		UG_Hauswirtschaft_Deckenlicht EA	1/1/50					Auto
		UG_Hauswirtschaft_Deckenlicht DIM_REL	1/1/51					Auto
		UG_Hauswirtschaft_Deckenlicht DIM_ABS	1/1/52					Auto
		UG_Hauswirtschaft_Deckenlicht TW_ABS	1/1/53					Auto
		UG_Hauswirtschaft_Deckenlicht TW_REL	1/1/54					Auto
		UG_Hauswirtschaft_Deckenlicht RGB_ABS	1/1/55					Auto
		UG_Hauswirtschaft_Deckenlicht RM_EA	1/1/56					Auto
		UG_Hauswirtschaft_Deckenlicht RM_DIM	1/1/57					Auto
		UG_Hauswirtschaft_Deckenlicht RM_TWRGB	1/1/58					Auto
		UG_Hauswirtschaft_Deckenlicht FEHLER	1/1/59					Auto
		UG_Heizung_Deckenlicht EA	1/1/60					Auto
		UG_Heizung_Deckenlicht DIM_REL	1/1/61					Auto
		UG_Heizung_Deckenlicht DIM_ABS	1/1/62					Auto
		UG_Heizung_Deckenlicht TW_ABS	1/1/63					Auto
		UG_Heizung_Deckenlicht TW_REL	1/1/64					Auto
		UG_Heizung_Deckenlicht RGB_ABS	1/1/65					Auto
		UG_Heizung_Deckenlicht RM_EA	1/1/66					Auto
		UG_Heizung_Deckenlicht RM_DIM	1/1/67					Auto
		UG_Heizung_Deckenlicht RM_TWRGB	1/1/68					Auto
		UG_Heizung_Deckenlicht FEHLER	1/1/69					Auto
	EG		1/2/-					Auto
		EG_Küche_Deckenlicht_Esstisch EA	1/2/0					Auto
		EG_Küche_Deckenlicht_Esstisch DIM_REL	1/2/1					Auto
		EG_Küche_Deckenlicht_Esstisch DIM_ABS	1/2/2					Auto
