Main	Middle	Sub	Address	Central	Unfiltered	Description	DatapointType	Security
		UG_Abstell_PM DIMMWERT	5/1/113					Auto
		UG_Hauswirtschaft_PM TASTERKURZ	5/1/120					Auto
		UG_Hauswirtschaft_PM TASTERLANG	5/1/121					Auto
		UG_Hauswirtschaft_PM EXTBEWEGUNG	5/1/122					Auto
		UG_Hauswirtschaft_PM STATUSAKTOR	5/1/123					Auto
		UG_Hauswirtschaft_PM SPERRE	5/1/124					Auto
		UG_Hauswirtschaft_PM ZWANGSFÜHRUNG	5/1/125					Auto
		UG_Hauswirtschaft_PM STATUSAUTOMATIK	5/1/126					Auto
		UG_Hauswirtschaft_PM NURIMDUNKELNAKTIV	5/1/127					Auto
		UG_Hauswirtschaft_PM NACHLAUFZEIT	5/1/128					Auto
		UG_Hauswirtschaft_PM LEDROT	5/1/129					Auto
		UG_Hauswirtschaft_PM RAUMHELLIGKEIT	5/1/130					Auto
		UG_Hauswirtschaft_PM HELLIGKEITSSCHWELLWERT	5/1/131					Auto
		UG_Hauswirtschaft_PM START_KALIBRIERUNG	5/1/132					Auto
		UG_Hauswirtschaft_PM DIMMWERT	5/1/133					Auto
		UG_Heizung_PM TASTERKURZ	5/1/140					Auto
		UG_Heizung_PM TASTERLANG	5/1/141					Auto
		UG_Heizung_PM EXTBEWEGUNG	5/1/142					Auto
		UG_Heizung_PM STATUSAKTOR	5/1/143					Auto
		UG_Heizung_PM SPERRE	5/1/144					Auto
		UG_Heizung_PM ZWANGSFÜHRUNG	5/1/145					Auto
		UG_Heizung_PM STATUSAUTOMATIK	5/1/146					Auto
		UG_Heizung_PM NURIMDUNKELNAKTIV	5/1/147					Auto
		UG_Heizung_PM NACHLAUFZEIT	5/1/148					Auto
		UG_Heizung_PM LEDROT	5/1/149					Auto
		UG_Heizung_PM RAUMHELLIGKEIT	5/1/150					Auto
		UG_Heizung_PM HELLIGKEITSSCHWELLWERT	5/1/151					Auto
		UG_Heizung_PM START_KALIBRIERUNG	5/1/152					Auto
		UG_Heizung_PM DIMMWERT	5/1/153					Auto
	EG		5/2/-					Auto
