Main	Middle	Sub	Address	Central	Unfiltered	Description	DatapointType	Security
		OG_Balkon_Spot_Kind1 TW_REL	2/3/94					Auto
		OG_Balkon_Spot_Kind1 RGB_ABS	2/3/95					Auto
		OG_Balkon_Spot_Kind1 RM_EA	2/3/96					Auto
		OG_Balkon_Spot_Kind1 RM_DIM	2/3/97					Auto
		OG_Balkon_Spot_Kind1 RM_TWRGB	2/3/98					Auto
		OG_Balkon_Spot_Kind1 FEHLER	2/3/99					Auto
		OG_Balkon_Spot_Kind2 EA	2/3/100					Auto
		OG_Balkon_Spot_Kind2 DIM_REL	2/3/101					Auto
		OG_Balkon_Spot_Kind2 DIM_ABS	2/3/102					Auto
		OG_Balkon_Spot_Kind2 TW_ABS	2/3/103					Auto
		OG_Balkon_Spot_Kind2 TW_REL	2/3/104					Auto
		OG_Balkon_Spot_Kind2 RGB_ABS	2/3/105					Auto
		OG_Balkon_Spot_Kind2 RM_EA	2/3/106					Auto
		OG_Balkon_Spot_Kind2 RM_DIM	2/3/107					Auto
		OG_Balkon_Spot_Kind2 RM_TWRGB	2/3/108					Auto
		OG_Balkon_Spot_Kind2 FEHLER	2/3/109					Auto
		OG_Balkon_Spot_Kind3 EA	2/3/110					Auto
		OG_Balkon_Spot_Kind3 DIM_REL	2/3/111					Auto
		OG_Balkon_Spot_Kind3 DIM_ABS	2/3/112					Auto
		OG_Balkon_Spot_Kind3 TW_ABS	2/3/113					Auto
		OG_Balkon_Spot_Kind3 TW_REL	2/3/114					Auto
		OG_Balkon_Spot_Kind3 RGB_ABS	2/3/115					Auto
		OG_Balkon_Spot_Kind3 RM_EA	2/3/116					Auto
		OG_Balkon_Spot_Kind3 RM_DIM	2/3/117					Auto
		OG_Balkon_Spot_Kind3 RM_TWRGB	2/3/118					Auto
		OG_Balkon_Spot_Kind3 FEHLER	2/3/119					Auto
